Provider_Id,ProviderName,DBAName
54243,"Ben Lomand Rural Telephone Coop., Inc.",Ben Lomand Connect
54244,Info Link Wireless,"Info Link Wireless, Inc."
54245,West Central Telephone Assoc.,West Central Telephone Association
54246,Tullahoma Utilities Board,Tullahoma Utilities Authority
54248,"Xbar7 Communications, LLC","xBar7 Communications, LLC"
54251,Barnardsville Telephone Company,RIVERSTREET NETWORKS
54252,Everstream Holding Company LLC,Everstream Holding Company LLC
54254,Service Telephone Company,RIVERSTREET NETWORKS
54257,"ETCOM, LLC",RIVERSTREET NETWORKS
54260,Jefferson State Broadband,Com-Pair Services
54261,"TriCounty Communications, Inc.",RIVERSTREET NETWORKS
54262,Smoky Valley Internet,Smoky Valley Internet
54263,"South Dakota Network, LLC",South Dakota Network LLC
54265,Gila Broadband LLC,Gila Broadband
54266,MM&G Enterprises LLC. d/b/a Fusion Media,Fusion Media
54267,HUXLEY COMMUNICATIONS COOPERATIVE,Huxley Communications Cooperative
54268,"Ben Lomand Communications, LLC",Ben Lomand Connect
54269,HUXLEY COMMUNICATIONS COOPERATIVE,Huxley Communications Cooperative
54272,Canby Telephone Association,DirectLink
54274,Mount Angel Telephone Company,DirectLink
54277,BBTC,Bristol Bay Internet
54278,LasVegas.Net,LV.Net
54279,Jackson Energy Authority,Jackson Energy Authority
54281,SyncWave LLC,"SyncWave, LLC"
54282,"Five Area Systems, Inc.","Five Area Systems, Inc."
54283,Complete Computers,Complete Computers
54284,"Midstate Communications, Inc.",Midstate Communications Inc.
54286,Mark Twain Rural Telephone Co,Mark Twain Rural Telephone Company
54291,Chanute City of,City of Chanute
54292,Joe Bustard,corridor
54293,Pennsylvania Telephone Company,Pennsylvania Telephone Company
54294,DLS Computer Services,DLS Computer Services
54295,Iron River Cooperative TV Antenna Corp,Iron River TV
54296,Beaver Valley Cable Co,Beaver Valley Cable
54298,"FIVE AREA TELEPHONE COOP., INC.","FIVE AREA TELEPHONE COOP., INC."
54299,"WEST PLAINS TELECOMMUNICATIONS, iNC.",WEST PLAINS
54300,Jefferson Telephone Company,Jefferson Telecom
54301,"Kentec Communications, Inc.","Kentec Communications, Inc."
54302,COB/BWP - One Burbank,ONE Burbank
54304,community cable and broadband l l c,Community Cable
54306,"Poka Lambro Telephone Cooperative, Inc.","Poka Lambro Telephone Cooperative, Inc."
54309,Mediapolis Telephone company,Mediapolis Telephone company
54310,"Poka Lambro Telecommunications, Ltd.","Poka Lambro Telecommunications, Ltd."
54313,Roller Network LLC,Roller Network
54314,"Reynolds Media, Inc",Reynolds Media Inc.
54315,Sylvernet,Sylvernet
54316,Chugwater Telephone Company,Chugwater Telephone Co.
54317,The Siskiyou Telephone Co.,Siskiyou Telephone Company
54320,Rarity Communications,Rarity Communications
54324,"Computer Techniques, Inc",CTI Fiber
54331,"DTC Cable, Inc.",DTC CABLE
54335,Chariton Valley Telephone Corporation,Chariton Valley Telephone Corporation
54336,Beggs Telephone Co Inc,Beggs Telephone Company
54338,TDS BROADBAND SERVICE LLC,BendBroadband
54338,TDS BROADBAND SERVICE LLC,TDS
54340,Molalla Telephone Company dba Molalla Communications Company,Molalla Communications Company
54341,Cooperative Telephone Exchange,CTE
54347,R & R Cable Company,R&R Cable
54348,Bagley Public Utilities,Bagley Public Utilities
54349,ELBERTON CITY OF,ElbertonNET
54350,Choctaw Telephone Company,Choctaw Telephone Co
54351,Haxtun Telephone Company,Haxtun Telephone Co
54352,City of Wilson,Greenlight
54353,Hancock Telephone Company,The Hancock Telephone Company
54355,"Hardy Telecommunications,Inc CLEC","HardyNet, Inc."
54356,Hardy Telecommunications Inc,"HardyNet, Inc."
54358,Pioneer Telephone Cooperative,Pioneer Telephone Cooperative
54359,Telephone Service Company,TSC
54360,JB-Nets,JB-Nets LLC
54361,"SVE Connect, LLC",SVEConnect LLC
54362,The Middle Point Home Telephone Company,Middle Point Home
54363,TSC Communications Inc.,TSCCI
54364,"Home Telephone Company, Inc.",Home Telephone Co
54367,Telephone Associates Inc,Telephone Associates Inc
54370,Balatize Broadband Services LLC,Balatize Broadband Services LLC
54371,MicroTek-Solutions LLC,MicroTek-Solutions LLC
54373,Oregon Farmers Mutual Telephone Company,Oregon Farmers Mutual Telephone Company
54374,Pymatuning Independent Telephone Company,Pymatuning Independent Telephone Co
54377,Pymatuning Independent Telephone Company,Pymatuning Independent Telephone Co
54378,"Comelec Services, Inc.",Comelec Internet Services
54379,Walnut Hill Telephone Company,Walnut Hill Telephone Co
54381,"Ridgetop Networks, LLC","Ridgetop Networks, LLC"
54382,Nelson County Cablevision Corp,Nelson County Cablevision Corporation
54383,Eagle One Wireless,Eagle One Wireless
54384,West Liberty Telephone Company,Liberty Communications
54386,South Arkansas Telephone Co.,South Arkansas Telephone Co.
54388,Hankins Information Technology,Hankins Information Technology
54390,Climax Telephone Company,CTS Telecom Inc
54391,Climax Telephone Company,CTS Telecom Inc
54393,Nortex Communications,Nortex Communications
54395,"AireCast, LLC",Airecast LLC
54396,Wireless Broadband,upnetwi
54397,RingTel Communications,RingTel Communications
54400,"XO Communications Services, LLC",XO Communications
54401,NTX Fiberwave,NTX Fiberwave
54402,"LaHarpe Telephone Company, Inc.","LaHarpe Telephone Co., Inc."
54403,"On-Ramp Indiana, Inc.",On-Ramp Indiana Inc.
54405,"Nex-Tech, Inc.","Nex-Tech, LLC"
54406,ATC Communications,ILEC
54407,ATC Communications,ATC Communications
54411,unWired Broadband,unWired Broadband Inc
54412,"Service Electric Cable TV, Inc.",Service Electric Cable TV
54413,"CT Communications Network, Inc.",CT Communications Network Inc
54414,The Champaign Telephone Company,The Champaign Telephone Company
54416,Phillips County Telephone Company,PC Telcom
54417,"Pend Oreille Valley Networks, Inc.",CF Internet
54417,"Pend Oreille Valley Networks, Inc.",POVN
54418,Muenster Telephone Corporation of Texas,Nortex Communications
54420,"Green Hills Communications, Inc. dba: Green Hills Technologies",Green Hills Technologies
54422,Plainview Telephone Company,Nyecom Teleservices
54423,"Lakeland Communications Group, LLC dba Lakeland Communications",Lakeland Communications
54424,Lebanon Utilities,Lebanon Utilities
54427,Independent Networks,Indepdent Networks
54427,Independent Networks,Independent Networks
54428,"Lakeland Communications Group, LLC dba Lakeland Communications",Lakeland Communications
54431,Engineer Austin LLC,Engineer Austin LLC
54439,Oxford West Telephone Company,Oxford County Telephone Company
54439,Oxford West Telephone Company,Oxford West Telephone Company
54443,Utah Telecommunication Open Infrastructure Agency,UTOPIA
54444,North Dakota Telephone Company,North Dakota Telephone Company
54445,Walnut Telephone Company,Marne Elk Horn
54446,"Copper Valley Telephone Cooperative, Inc.",Copper Valley Telecom
54447,"Antelecom, Inc.",Antelecom Inc.
54450,Monroe Telephone Company,Monroe
54451,"Skyrunner, Inc","Skyrunner, Inc"
54452,Outernet Broadband LLC,Outernet Broadband
54454,"Vivid Communications, LLC",Vivid Communications
54456,Wasatch Broadband,Wasatch Broadband
54457,"Jenco Wireless, LLC","Jenco Wireless, LLC"
54458,"Windstream New York, Inc.",Windstream New York Inc.
54460,"Windstream Buffalo Valley, Inc",Windstream Buffalo Valley Inc.
54463,"Windstream Conestoga, Inc",Windstream Conestoga Inc.
54466,"Windstream D&E, Inc.",Windstream D&E Inc.
54467,"Windstream Pennsylvania, LLC",Windstream Pennsylvania LLC.
54469,"Windstream Florida, LLC",Windstream Florida Inc.
54470,"Windstream Georgia, LLC",Windstream Georgia LLC
54471,Missouri RSA No. 5 Partnership,Chariton Valley Wireless
54472,"Windstream Georgia Telephone, LLC",Windstream Georgia Telephone LLC
54474,"Windstream Standard, LLC",Windstream Standard LLC
54475,"Smartcom Telephone, LLC",Smartcom Telephone
54476,"Siren Telephone Company, Inc",Siren Telephone Company
54478,"Windstream Accucomm Telecommunications, LLC",Windstream Accucomm Telecom LLC
54480,AT&T Mobility Puerto Rico Inc.,Centennial
54494,"Georgia Windstream, LLC",Georgia Windstream LLC.
54500,"Windstream Georgia Communications, LLC",Windstream Georgia Communications LLC
54505,"Windstream Concord Telephone, LLC",Windstream Concord Telephone Company
54508,"Windstream North Carolina, LLC",Windstream North Carolina LLC
54510,"Windstream Lexcom Communications, LLC",Windstream Lexcom Communications Inc.
54511,Fort Mill Telephone Company,Comporium
54513,"Windstream South Carolina, LLC",Windstream South Carolina LLC
54515,ION,ION Communications LLC
54516,"Windstream Alabama, LLC",Windstream Alabama LLC
54517,"Windstream Kentucky West, LLC",Windstream Kentucky West LLC
54519,"Windstream Kentucky East, LLC",Windstream Kentucky East LLC
54521,"Windstream Mississippi, LLC",Windstream Mississippi LLC.
54526,"Windstream Ohio, LLC",Windstream Ohio Inc.
54527,"Windstream Western Reserve, LLC",Windstream Western Reserve Inc.
54530,"Windstream Montezuma, LLC",Windstream Montezuma Inc.
54531,"Windstream Lakedale, Inc.",Windstream Lakedale Inc.
54532,"Windstream Nebraska, Inc.",Windstream Nebraska Inc.
54533,"Windstream Arkansas, LLC",Windstream Arkansas LLC
54534,"Advantenon, Inc.","Advantenon, Inc."
54535,"Windstream Missouri, LLC",Windstream Missouri Inc.
54536,"Comporium, Inc.",Comporium
54537,Lancaster Telephone Company,Comporium
54538,"Springboard Telecom, LLC",Comporium
54539,"PBT Telecom, Inc.","PBT Telecom, Inc."
54540,"PBT Communications, Inc.","PBT Communications, Inc."
54541,"Windstream Oklahoma, LLC",Windstream Oklahoma LLC
54544,"Oklahoma Windstream, LLC",Oklahoma Windstream LLC
54545,BRYAN MUNICIPAL UTILITIES,Bryan Municipal Utilities
54546,"LaHarpe Telephone Company, Inc.","LaHarpe Telephone Company, Inc."
54547,"Valor Telecommunications of Texas, LLC",Valor Telecommunications of Texas LP
54551,"Mid-Rivers Telephone Cooperative, Inc.",Mid-Rivers Communications
54555,BLUEBIT NETWORKS LLC,BlueBit Networks
54556,"Southeastern Services, Inc.",Southeastern Services
54557,Westfield Gas & Electric,Whip City Fiber
54561,Walnut Telephone Company,Marne Elk Horn
54564,"Windstream Communications Kerrville, LLC",Windstream Communications Kerrville LLC
54565,"Glandorf Telephone Co. ,Inc",Glandorf Telephone Company Inc
54566,"K & M Telephone Company, Inc.",K & M Telephone Company
54567,"Windstream Sugar Land, LLC",Windstream Sugar Land Inc.
54568,Minnesota Valley Telephone Company,Minnesota Valley Telephone Company
54570,"Texas Windstream, LLC",Texas Windstream Inc.
54571,"Glandorf Telephone Co. ,Inc",Glandorf Telephone Company Inc
54572,Clarksville Mutual Telephone Company,Clarksville Mutual Telephone Company
54573,"iTV-3, LLC",i3 Broadband
54574,"Windstream of the Midwest, Inc.",Windstream of the Midwest Inc.
54576,"The Toledo Telephone Co., Inc.",ToledoTel
54577,"Windstream Lakedale Link, Inc.",Windstream Lakedale Link Inc.
54578,"Vision Net, Inc.",Vision Net Inc
54579,SMS LLC,PC Internet
54580,M3COM of Virginia,M3Com of Virginia
54581,Hemingford Cooperative Telephone Company,Hemingford Cooperative Telephone Company
54582,"DeserGate Internet, LLC",desertgate
54584,"Skynet Country, LLC",SkynetCountry
54585,Citizens Telephone Company of Higginsville Missouri,"Citizens Telephone Company of Higginsville, Missouri"
54586,"Windstream EN-TEL, LLC",Windstream EN-TEL LLC
54589,"Kern Valley Wireless, Inc",Kern Valley Wireless
54590,Southwest Minnesota Broadband Services,Southwest MN Broadband Services
54592,Monmouth Telephone & Telegraph,Monmouth Telephone & Telegraph
54593,Adams Telsystems Inc.,"Adams Tel Systems, Inc."
54596,"Windstream D&E Systems, LLC",Windstream D&E Systems Inc.
54599,"G5 Internet, LLC","G5 Internet, LLC"
54600,"Windstream Communication Telecom, LLC",Windstream Communications Telecom LLC
54601,Brandenburg Telecom LLC,Brandenburg Telecom LLC
54604,"Windstream Iowa-Comm, LLC",Windstream Iowa-Comm Inc.
54605,"Windstream IT-Comm, LLC",Windstream IT-Comm LLC
54606,"Co-Mo Comm, Inc.",Co-Mo Comm Inc.
54608,"Windstream Communications, LLC",Windstream Communications Inc.
54609,"Windstream NorthStar, LLC",Windstream NorthStar LLC
54610,"Ontario Telephone Company, Inc.","Ontario Telephone Company, Inc."
54611,Hamilton County Telephone Coop,Hamilton County Telephone Coop
54612,"DoveTel Communications, LLC dba SyncGlobal Telecom",DoveTel Communications LLC
54614,"Alma Telephone Company, Inc.",Alma Telephone
54617,Winthrop Telephone Company,Winthrop Telephone Company
54618,"WestPAnet, Inc.","WestPAnet, Inc."
54619,Clearcom Inc,Sandwich Isles Broadband Services
54621,Southern Vermont Cable,Southern Vermont Cable
54622,"Google Fiber Kansas, LLC","Google Fiber Kansas, LLC"
54623,"Google Fiber Missouri, LLC","Google Fiber Missouri, LLC"
54624,"Google Fiber Utah, LLC","Google Fiber Utah, LLC"
54625,"Google Fiber California, LLC","Google Fiber California, LLC"
54626,"Google Fiber Texas, LLC","Google Fiber Texas, LLC"
54627,"Google Fiber Tennessee, LLC","Google Fiber Tennessee, LLC"
54628,"Google Fiber North Carolina, LLC","Google Fiber North Carolina, LLC"
54629,"Next, powered by NAEC, LLC","Next, Powered by NAEC, LLC"
54631,PLANTERS RURAL TELEPHONE COOP,Planters Rural Telephone Cooperative
54632,Coalfields Telephone Company Inc,Coalfields Telephone Company
54633,Mr,Greenfield Community Energy & Technology (GCET)
54634,Inter-Mountain Cable Inc,"Inter-Mountain Cable, Inc."
54635,Killduff Telephone Company,Killduff Telephone Company
54636,"Loretto Telephone Company, Inc.",Loretto Telephone Company Inc.
54637,"Mik Rotec CATV, LLC","Mikrotec CATV, LLC"
54638,Cify of Faith,City of Faith Telephone Company
54644,Decatur Telephone Company,Decatur Telephone Company
54647,Wyandotte Telephone Company,WTC#2
